name,chembl_id,smiles,predicted_affinity,predicted_hit_prob,scaffold
GLUCOSAMINE HYDROCHLORIDE,CHEMBL1707007,Cl.N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,-4.200152105325164,0.2307683695838939,C1CCOCC1
MEPERIDINE HYDROCHLORIDE,CHEMBL1701,CCOC(=O)C1(c2ccccc2)CCN(C)CC1.Cl,-4.188632743070333,0.2883960777165134,c1ccc(C2CCNCC2)cc1
MINODRONIC ACID,CHEMBL319144,O=P(O)(O)C(O)(Cc1cnc2ccccn12)P(=O)(O)O,-4.180443037404008,0.2735895939353588,c1ccn2ccnc2c1
RAMELTEON,CHEMBL1218,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,-4.178698859004434,0.2579360488695114,c1cc2c(c3c1CCC3)CCO2
ATOMOXETINE HYDROCHLORIDE,CHEMBL1702,CNCC[C@@H](Oc1ccccc1C)c1ccccc1.Cl,-4.176675734369743,0.2945099348042216,c1ccc(COc2ccccc2)cc1
TOLMETIN SODIUM,CHEMBL1200613,Cc1ccc(C(=O)c2ccc(CC(=O)[O-])n2C)cc1.[Na+],-4.172024781311932,0.2816935752773212,O=C(c1ccccc1)c1ccc[nH]1
CARTEOLOL HYDROCHLORIDE,CHEMBL1201002,CC(C)(C)NCC(O)COc1cccc2c1CCC(=O)N2.Cl,-4.168496114709426,0.283419208127329,O=C1CCc2ccccc2N1
BITHIONOLATE SODIUM,CHEMBL1447476,[Na+].[Na+].[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],-4.1433881822245535,0.2785202783198803,c1ccc(Sc2ccccc2)cc1
HEXOBARBITAL,CHEMBL7728,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,-4.141720240429882,0.2559346157938029,O=C1NC(=O)C(C2=CCCCC2)C(=O)N1
ANAGRELIDE,CHEMBL760,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,-4.140491018142946,0.3024524364584417,O=C1CN2Cc3ccccc3N=C2N1
THEOPHYLLINE GLYCINATE,CHEMBL1208646,Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCC(=O)O,-4.138936628572575,0.3652394832775576,O=c1[nH]c(=O)c2[nH]cnc2[nH]1
MOCLOBEMIDE,CHEMBL86304,O=C(NCCN1CCOCC1)c1ccc(Cl)cc1,-4.1372281053366,0.285978274453911,O=C(NCCN1CCOCC1)c1ccccc1
CRISABOROLE,CHEMBL484785,N#Cc1ccc(Oc2ccc3c(c2)COB3O)cc1,-4.130944652326276,0.2725951712227071,B1OCc2cc(Oc3ccccc3)ccc21
TIMOLOL,CHEMBL499,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,-4.12959093667428,0.2024048810982109,c1nsnc1N1CCOCC1
CHLOROTHIAZIDE SODIUM,CHEMBL1200616,NS(=O)(=O)c1cc2c(cc1Cl)N=C[N-]S2(=O)=O.[Na+],-4.129250373439853,0.2458889410422528,O=S1(=O)[N-]C=Nc2ccccc21
BUPIVACAINE HYDROCHLORIDE,CHEMBL1200396,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C.Cl,-4.119335630906932,0.2498783172435797,O=C(Nc1ccccc1)C1CCCCN1
LEVOBUPIVACAINE HYDROCHLORIDE,CHEMBL1200749,CCCCN1CCCC[C@H]1C(=O)Nc1c(C)cccc1C.Cl,-4.119335630906932,0.2498783172435797,O=C(Nc1ccccc1)[C@@H]1CCCCN1
ARBUTAMINE HYDROCHLORIDE,CHEMBL1200385,Cl.Oc1ccc(CCCCNC[C@H](O)c2ccc(O)c(O)c2)cc1,-4.099166632248382,0.2433277429228184,c1ccc(CCCCNCCc2ccccc2)cc1
LEVAMISOLE HYDROCHLORIDE,CHEMBL1770,Cl.c1ccc([C@H]2CN3CCSC3=N2)cc1,-4.098759623966222,0.2831400536167219,c1ccc([C@H]2CN3CCSC3=N2)cc1
ANAGRELIDE HYDROCHLORIDE,CHEMBL1200759,Cl.O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,-4.096707050788665,0.2942063627099806,O=C1CN2Cc3ccccc3N=C2N1
PROPYLIODONE,CHEMBL1200821,CCCOC(=O)Cn1cc(I)c(=O)c(I)c1,-4.095924617502532,0.2489118520624116,O=c1cc[nH]cc1
PROPOXYPHENE,CHEMBL1213351,CCC(=O)O[C@](Cc1ccccc1)(c1ccccc1)[C@H](C)CN(C)C,-4.093813024016775,0.2988333069052363,c1ccc(CCc2ccccc2)cc1
LEVOPROPOXYPHENE,CHEMBL1738990,CCC(=O)O[C@@](Cc1ccccc1)(c1ccccc1)[C@@H](C)CN(C)C,-4.093813024016775,0.2988333069052363,c1ccc(CCc2ccccc2)cc1
VARENICLINE,CHEMBL1076903,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1,-4.091756465491843,0.2905615097527885,c1cnc2cc3c(cc2n1)[C@@H]1CNC[C@H]3C1
LEVOBETAXOLOL HYDROCHLORIDE,CHEMBL1200837,CC(C)NC[C@H](O)COc1ccc(CCOCC2CC2)cc1.Cl,-4.090543522095117,0.172372686893048,c1ccc(CCOCC2CC2)cc1
BETAXOLOL HYDROCHLORIDE,CHEMBL1691,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1.Cl,-4.090543522095117,0.172372686893048,c1ccc(CCOCC2CC2)cc1
CLOBAZAM,CHEMBL70418,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,-4.06954391156384,0.2667154739367142,O=C1CC(=O)N(c2ccccc2)c2ccccc2N1
