name,best_affinity,z_score,hit_level,family,source,repo_score,scaffold
AZELAIC ACID,-6.349,-0.5940169987848848,L5_Weak,Carboxylic_acid,chembl_ml_screen,3.0,
DROXIDOPA,-6.346,-0.5918666235439637,L5_Weak,Amino_acid,chembl_ml_screen,3.0,c1ccccc1
BENZPHETAMINE,-6.346,-0.5918666235439637,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CCNCc2ccccc2)cc1
MOLINDONE,-6.343,-0.5897162483030425,L5_Weak,Other,chembl_ml_screen,3.0,O=C1c2cc[nH]c2CCC1CN1CCOCC1
NITAZOXANIDE,-6.334,-0.5832651225802791,L5_Weak,Other,chembl_ml_screen,3.0,O=C(Nc1nccs1)c1ccccc1
SECNIDAZOLE,-6.318,-0.5717964546287,L5_Weak,Other,chembl_ml_screen,3.0,c1c[nH]cn1
PRACTOLOL,-6.309,-0.5653453289059372,L5_Weak,Other,chembl_ml_screen,3.0,c1ccccc1
METHYLPHENIDATE,-6.295,-0.5553102444483053,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc(CC2CCCCN2)cc1
LEVODOPA,-6.294,-0.5545934527013314,L5_Weak,Amino_acid,chembl_ml_screen,3.0,c1ccccc1
ZALCITABINE,-6.27,-0.5373904507739629,L5_Weak,Other,chembl_ml_screen,3.0,O=c1ncccn1[C@H]1CCCO1
THIOPENTAL,-6.268,-0.5359568672800157,L5_Weak,Other,chembl_ml_screen,3.0,O=C1CC(=O)NC(=S)N1
ROPINIROLE,-6.261,-0.5309393250512,L5_Weak,Other,chembl_ml_screen,3.0,O=C1Cc2ccccc2N1
RILUZOLE,-6.25,-0.5230546158344894,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2scnc2c1
PROPRANOLOL,-6.239,-0.5151699066177787,L5_Weak,Other,chembl_ml_screen,3.0,c1ccc2ccccc2c1
LINDANE,-6.238,-0.5144531148708054,L5_Weak,Other,chembl_ml_screen,3.0,C1CCCCC1
ISOSORBIDE MONONITRATE,-6.232,-0.5101523643889632,L5_Weak,Other,chembl_ml_screen,3.0,C1C[C@H]2OCC[C@H]2O1
MOXONIDINE,-6.227,-0.5065684056540948,L5_Weak,Other,chembl_ml_screen,3.0,c1ncc(NC2=NCCN2)cn1
HEXYLCAINE,-6.226,-0.5058516139071209,L5_Weak,Other,chembl_ml_screen,3.0,O=C(OCCNC1CCCCC1)c1ccccc1
