name,chembl_id,smiles,predicted_affinity,predicted_hit_prob
TISOPURINE,CHEMBL119423,Sc1ncnc2[nH]ncc12,-4.872637281252688,0.28175806506758394
ACETYLCYSTEINE,CHEMBL600,CC(=O)N[C@@H](CS)C(=O)O,-4.87113414987998,0.27904222019754776
TRANEXAMIC ACID,CHEMBL877,NC[C@H]1CC[C@H](C(=O)O)CC1,-4.8632428269273245,0.2940834434736811
BETAHISTINE,CHEMBL24441,CNCCc1ccccn1,-4.8622219487413085,0.2567456377167448
PHENSUXIMIDE,CHEMBL797,CN1C(=O)CC(c2ccccc2)C1=O,-4.861200215595835,0.28225376724471496
METHOXAMINE,CHEMBL524,COc1ccc(OC)c(C(O)C(C)N)c1,-4.860612276285715,0.28156016739085343
EPINEPHRINE,CHEMBL679,CNC[C@H](O)c1ccc(O)c(O)c1,-4.859568789111083,0.23348526300495798
MEPHENTERMINE,CHEMBL1201234,CNC(C)(C)Cc1ccccc1,-4.858911516352353,0.29505246143477026
NIACINAMIDE,CHEMBL1140,NC(=O)c1cccnc1,-4.858426401911414,0.2740289803912205
FLUMEXADOL,CHEMBL578767,FC(F)(F)c1cccc(C2CNCCO2)c1,-4.856956920677728,0.3388620612668754
SELENOMETHIONINE SE 75,CHEMBL1201054,C[75Se]CC[C@H](N)C(=O)O,-4.8559573606680075,0.3232482339063595
PHENELZINE SULFATE,CHEMBL1200895,NNCCc1ccccc1.O=S(=O)(O)O,-4.855231869314051,0.30703387746370864
CHLORZOXAZONE,CHEMBL1371,O=c1[nH]c2cc(Cl)ccc2o1,-4.854752454150301,0.34482640366439926
IBUFENAC,CHEMBL341812,CC(C)Cc1ccc(CC(=O)O)cc1,-4.8539834401202375,0.33682520764269674
BETAHISTINE HYDROCHLORIDE,CHEMBL1446813,CNCCc1ccccn1.Cl.Cl,-4.852130285358686,0.2662127605229329
BRETYLIUM,CHEMBL1199080,CC[N+](C)(C)Cc1ccccc1Br,-4.850744747052389,0.2770936829899925
PYRIDOSTIGMINE,CHEMBL1115,CN(C)C(=O)Oc1ccc[n+](C)c1,-4.847219120141004,0.2868061243031282
METHOXAMINE HYDROCHLORIDE,CHEMBL1201103,COc1ccc(OC)c(C(O)C(C)N)c1.Cl,-4.845599538913775,0.27368261981996306
PINDOLOL,CHEMBL500,CC(C)NCC(O)COc1cccc2[nH]ccc12,-4.8442427881946015,0.35152796646997053
HEXAMINOLEVULINATE,CHEMBL1201784,CCCCCCOC(=O)CCC(=O)CN,-4.841009956675043,0.2380651982354714
EPHEDRINE,CHEMBL211456,CN[C@@H](C)[C@H](O)c1ccccc1,-4.838715507898412,0.2635563172680945
PSEUDOEPHEDRINE,CHEMBL1590,CN[C@@H](C)[C@@H](O)c1ccccc1,-4.838715507898412,0.2635563172680945
OXYBENZONE,CHEMBL1625,COc1ccc(C(=O)c2ccccc2)c(O)c1,-4.837824513873438,0.33557070710154674
ZINC ACETATE ANHYDROUS,CHEMBL1200928,CC(=O)[O-].CC(=O)[O-].[Zn+2],-4.8372888461760954,0.19749381957028017
CALCIUM ACETATE,CHEMBL1200800,CC(=O)[O-].CC(=O)[O-].[Ca+2],-4.837047227128477,0.1909605619221003
MAFENIDE,CHEMBL419,NCc1ccc(S(N)(=O)=O)cc1,-4.8369421144266,0.27840886266247794
PHENOXYPROPAZINE,CHEMBL1909286,CC(COc1ccccc1)NN,-4.836320390804145,0.30247570080884567
ACETANILIDE,CHEMBL269644,CC(=O)Nc1ccccc1,-4.835557382844823,0.2973176059449239
MAGNESIUM ACETATE,CHEMBL1200691,CC(=O)[O-].CC(=O)[O-].[Mg+2],-4.8355382271284775,0.1909605619221003
COUMARIN,CHEMBL6466,O=c1ccc2ccccc2o1,-4.835438509196746,0.30304386015647994
ACETAMINOPHEN,CHEMBL112,CC(=O)Nc1ccc(O)cc1,-4.83512396504594,0.25966818502107325
