name,best_affinity,source
"4,4-difluoroisoquinoline-1,3-dione",-7.783,glutarimide
"5-[(4-fluorophenyl)methyl]-1,3-diazinane-2,4,",-7.782,pathc_v2
"5-(2,2-dimethylpropyl)-5-propyl-1,3-diazinane",-7.781,pathc_v2
"2-azido-3-methylnaphthalene-1,4-dione",-7.774,glutarimide
"5-ethyl-5-(3-methylbutan-2-yl)-1,3-diazinane-",-7.769,pathc_v2
"3-[(2-fluorophenyl)methyl]piperidine-2,6-dion",-7.767,pathc_v2
"(3S)-3-methyl-3-phenylpyrrolidine-2,5-dione",-7.767,pathc_v2
"2-[(E)-3-phenylprop-2-enyl]isoindole-1,3-dione",-7.757,glutarimide
"3-[(3,4-difluorophenyl)methyl]piperidine-2,6-dione",-7.753,glutarimide
"5-(3-chlorophenyl)-5-ethyl-1,3-diazinane-2,4,",-7.742,pathc_v2
"4-(1,3-dioxoisoindol-2-yl)-N-phenylbutanamide",-7.741,glutarimide
"1,5-dihydro-3-benzazepine-2,4-dione",-7.74,pathc_v2
"8-cyclohex-3-en-1-yl-6,8-diazaspiro[3.5]nonan",-7.736,pathc_v2
"1-phenyl-3-azabicyclo[3.1.1]heptane-2,4-dione",-7.733,glutarimide
"3-(2,4,6-trifluorophenyl)piperidine-2,6-dione",-7.731,glutarimide
"2-amino-2-methyl-3,4-dihydronaphthalen-1-one",-7.728,glutarimide
BUTALBITAL,-7.728,screening_master_results.csv
CARPROFEN,-7.726,fda_leftover
2-chloro-2-phenyl-1-piperidin-1-ylethanone,-7.726,glutarimide
3-oxo-2-(pyrrolidin-2-ylmethyl)-1H-isoindole-4-car,-7.721,glutarimide
"9b-phenyl-2,3-dihydro-1H-imidazo[2,1-a]isoindol-5-",-7.716,glutarimide
BACLOFEN,-7.713,fda_leftover
"2-(2,6-difluorophenyl)acetamide",-7.713,glutarimide
"(3R)-3-[(4-chlorophenyl)methyl]piperidine-2,6-dion",-7.712,glutarimide
"3-(5-chloro-2-fluoro-3-methylphenyl)piperidine-2,6",-7.712,glutarimide
"5-(2-hydroxyethyl)-5-phenyl-1,3-diazinane-2,4",-7.71,pathc_v2
2-ethyl-2-phenylbutanamide,-7.707,glutarimide
