name,best_affinity,all_affinities
MINOXIDIL,-5.704,"[-5.704, -5.694, -5.29, -5.106, -4.512, 0.0, 1.0, 10.0, 16.0]"
METOPROLOL,-5.7,"[-5.7, -5.206, -5.106, -4.983, -4.487, 0.0, 1.0, 10.0, 16.0]"
CYCLOPENTOLATE,-5.685,"[-5.685, -5.659, -5.189, -4.998, -4.89, 0.0, 1.0, 10.0, 16.0]"
TRIFLURIDINE,-5.685,"[-5.685, -5.092, -4.93, -4.81, -4.224, 0.0, 1.0, 10.0, 16.0]"
OXCARBAZEPINE,-5.682,"[-5.682, -5.532, -5.328, -5.1, -5.012, 0.0, 1.0, 10.0, 16.0]"
TRIPELENNAMINE,-5.676,"[-5.676, -5.498, -5.425, -4.446, -4.426, 0.0, 1.0, 10.0, 16.0]"
CIMETIDINE,-5.676,"[-5.676, -5.575, -5.516, -5.433, -5.31, 0.0, 1.0, 10.0, 16.0]"
LUMIRACOXIB,-5.659,"[-5.659, -5.372, -5.244, -4.611, -4.548, 0.0, 1.0, 10.0, 16.0]"
PYRIDOSTIGMINE,-5.657,"[-5.657, -5.176, -5.162, -5.14, -5.047, 0.0, 1.0, 10.0, 16.0]"
DILEVALOL,-5.648,"[-5.648, -5.358, -4.93, -4.718, -4.589, 0.0, 1.0, 10.0, 16.0]"
CLONIDINE,-5.611,"[-5.611, -5.556, -5.516, -5.423, -4.456, 0.0, 1.0, 10.0, 16.0]"
OZAGREL,-5.596,"[-5.596, -1.806, -1.63, -0.292, 0.0, 0.386, 1.0, 10.0, 16.0]"
ZIDOVUDINE,-5.589,"[-5.589, -4.928, -4.571, -4.543, -4.127, 0.0, 1.0, 10.0, 16.0]"
XANOMELINE,-5.587,"[-5.587, -5.568, -5.498, -5.245, -5.06, 0.0, 1.0, 10.0, 16.0]"
ACEFYLLINE,-5.574,"[-5.574, -5.008, -4.796, -4.766, -4.704, 0.0, 1.0, 10.0, 16.0]"
PYRIDOXINE,-5.57,"[-5.57, -5.393, -5.367, -5.338, -5.249, 0.0, 1.0, 10.0, 16.0]"
LEVOBUNOLOL,-5.558,"[-5.558, -5.495, -5.449, -5.063, -5.047, 0.0, 1.0, 10.0, 16.0]"
ASCORBIC ACID,-5.549,"[-5.549, -5.493, -5.383, -5.205, -5.195, 0.0, 1.0, 10.0, 16.0]"
MEPTAZINOL,-5.546,"[-5.546, -5.084, -4.759, -4.543, -4.155, 0.0, 1.0, 10.0, 16.0]"
MODAFINIL,-5.523,"[-5.523, -5.337, -5.252, -4.713, -4.385, 0.0, 1.0, 10.0, 16.0]"
FLUTAMIDE,-5.504,"[-5.504, 0.0, 1.0, 10.0, 16.0]"
PYRILAMINE,-5.481,"[-5.481, -4.114, -4.062, -3.866, -3.639, 0.0, 1.0, 10.0, 16.0]"
TIAPROFENIC ACID,-5.48,"[-5.48, -5.439, -5.226, -5.067, -5.037, 0.0, 1.0, 10.0, 16.0]"
ISAXONINE,-5.475,"[-5.475, -5.251, -5.213, -5.204, -5.179, 0.0, 1.0, 10.0, 16.0]"
