name,smiles,ml_score
TRIENTINE TETRAHYDROCHLORIDE,Cl.Cl.Cl.Cl.NCCNCCNCCN,-4.644758162721612
VABORBACTAM,O=C(O)C[C@@H]1CC[C@H](NC(=O)Cc2cccs2)B(O)O1,-4.643148845216001
METHARBITAL,CCC1(CC)C(=O)NC(=O)N(C)C1=O,-4.640073326465757
BUPROPION,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,-4.6334514081659695
MIDODRINE,COc1ccc(OC)c(C(O)CNC(=O)CN)c1,-4.6326805178669135
CITRIC ACID,O=C(O)CC(O)(CC(=O)O)C(=O)O,-4.63263364372858
VIGABATRIN,C=CC(N)CCC(=O)O,-4.630199406809604
PILOCARPINE HYDROCHLORIDE,CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C.Cl,-4.625978877438143
OXPRENOLOL HYDROCHLORIDE,C=CCOc1ccccc1OCC(O)CNC(C)C.Cl,-4.623013676008668
MEBUTAMATE,CCC(C)C(C)(COC(N)=O)COC(N)=O,-4.6150946107074615
MIDODRINE HYDROCHLORIDE,COc1ccc(OC)c(C(O)CNC(=O)CN)c1.Cl,-4.609131462481632
TERIFLUNOMIDE,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,-4.60371511005482
ALBUTEROL,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-4.602602449192847
LEVOSALBUTAMOL,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,-4.602602449192847
BUTABARBITAL SODIUM,CCC(C)C1(CC)C(=O)[N-]C(=O)NC1=O.[Na+],-4.601474277831914
LEVOMILNACIPRAN HYDROCHLORIDE,CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN.Cl,-4.59870317183609
MILNACIPRAN HYDROCHLORIDE,CCN(CC)C(=O)C1(c2ccccc2)CC1CN.Cl,-4.59870317183609
DEXPANTHENOL,CC(C)(CO)[C@@H](O)C(=O)NCCCO,-4.590118188900831
ETHACRYNIC ACID,C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,-4.588745420128724
TRIPELENNAMINE HYDROCHLORIDE,CN(C)CCN(Cc1ccccc1)c1ccccn1.Cl,-4.586834085031022
LEVALBUTEROL HYDROCHLORIDE,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1.Cl,-4.585257706728333
APRACLONIDINE HYDROCHLORIDE,Cl.Nc1cc(Cl)c(N=C2NCCN2)c(Cl)c1,-4.584411242291907
METRONIDAZOLE HYDROCHLORIDE,Cc1ncc([N+](=O)[O-])n1CCO.Cl,-4.58438897353833
DEXFENFLURAMINE HYDROCHLORIDE,CCN[C@@H](C)Cc1cccc(C(F)(F)F)c1.Cl,-4.584041744517031
FENFLURAMINE HYDROCHLORIDE,CCNC(C)Cc1cccc(C(F)(F)F)c1.Cl,-4.584041744517031
METHOHEXITAL,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O,-4.577964665430065
TILUDRONIC ACID,O=P(O)(O)C(Sc1ccc(Cl)cc1)P(=O)(O)O,-4.576724920788592
BUPROPION HYDROCHLORIDE,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1.Cl,-4.565514576758242
METHIODAL,O=S(=O)(O)CI,-4.56032875827289
