name,best_affinity,all_affinities
"4-(3-methylphenyl)piperidine-2,6-dione",-7.917,"[-7.917, -6.924, -6.126, -5.446, -5.416, 0.0, 1.0, 10.0, 16.0]"
"3-[(2-chloro-4-fluorophenyl)methyl]piperidine-2,6-",-7.907,"[-7.907, -7.4, -7.321, -7.189, -7.123, 0.0, 1.0, 10.0, 16.0]"
"5,5,5-trifluoro-2-methyl-2-phenylpentanamide",-7.907,"[-7.907, -7.279, -7.272, -7.251, -7.021, 0.0, 1.0, 10.0, 16.0]"
2-chloro-2-phenyl-N-(trifluoromethyl)acetamide,-7.904,"[-7.904, -7.76, -7.706, -7.502, -6.99, 0.0, 1.0, 10.0, 16.0]"
"2-chloro-3-isocyanatonaphthalene-1,4-dione",-7.901,"[-7.901, -7.717, -7.597, -7.419, -7.154, 0.0, 1.0, 10.0, 16.0]"
"(2E)-N-(2,6-dioxopiperidin-3-yl)-2-methylpenta-2,4",-7.9,"[-7.9, -7.301, -7.03, -6.791, -6.24, 0.0, 1.0, 10.0, 16.0]"
"4,4,4-trifluoro-N-(1-methoxy-2-methylpropan-2-yl)-",-7.896,"[-7.896, -6.509, -6.162, -6.147, -5.99, 0.0, 1.0, 10.0, 16.0]"
(Z)-3-amino-4-oxo-4-phenylbut-2-enoyl chloride,-7.887,"[-7.887, -7.695, -7.439, -7.321, -7.233, 0.0, 1.0, 10.0, 16.0]"
"4,4-bis(prop-2-enyl)isoquinoline-1,3-dione",-7.885,"[-7.885, -7.143, -6.918, -6.148, -6.128, 0.0, 1.0, 10.0, 16.0]"
"3-[(3-chloro-2-fluorophenyl)methyl]piperidine-2,6-",-7.882,"[-7.882, -7.788, -7.684, -7.37, -7.196, 0.0, 1.0, 10.0, 16.0]"
"2-(methoxymethyl)isoindole-1,3-dione",-7.88,"[-7.88, -7.658, -7.551, -7.55, -7.467, 0.0, 1.0, 10.0, 16.0]"
"3-[4-(aminomethyl)-2-fluorophenyl]piperidine-2,6-d",-7.88,"[-7.88, -6.749, -6.391, -6.315, -5.718, 0.0, 1.0, 10.0, 16.0]"
"1,3-dihydrobenzo[f]benzimidazole-2,4,9-trione",-7.878,"[-7.878, -7.773, -7.071, -6.26, -5.802, 0.0, 1.0, 10.0, 16.0]"
"5-(2,3,5-trifluorophenyl)piperidin-2-one",-7.874,"[-7.874, -7.832, -7.782, -7.693, -7.535, 0.0, 1.0, 10.0, 16.0]"
"5-acetyl-4-(4-fluorophenyl)-6-methyl-3,4-dihydro-1",-7.874,"[-7.874, -6.125, -5.572, -5.48, -5.453, 0.0, 1.0, 10.0, 16.0]"
"3-[(3-bromophenyl)methyl]piperidine-2,6-dione",-7.872,"[-7.872, -7.141, -6.692, -6.62, -6.567, 0.0, 1.0, 10.0, 16.0]"
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methyl-N-pro",-7.863,"[-7.863, -6.965, -5.959, -5.349, -5.264, 0.0, 1.0, 10.0, 16.0]"
"(2E,4Z)-N-(2,6-dioxopiperidin-3-yl)-2-methylhexa-2",-7.858,"[-7.858, -6.952, -5.972, -5.632, -5.565, 0.0, 1.0, 10.0, 16.0]"
