name,best_affinity,all_affinities,status
HALAZEPAM,-4.001,"[-4.001, -3.56, -2.972, -2.776, -1.886, 0.0, 1.0, 10.0, 16.0]",success
TOLBUTAMIDE,-3.993,"[-3.993, -3.952, -3.874, -3.753, -3.743, 0.0, 1.0, 10.0, 16.0]",
POMALIDOMIDE,-3.964,"[-3.964, -3.567, -3.45, -3.364, -2.931, 0.0, 1.0, 10.0, 16.0]",
KETOTIFEN,-3.906,"[-3.906, -3.379, -1.469, -1.102, -0.564, 0.0, 1.0, 10.0, 16.0]",
TETRAZEPAM,-3.871,"[-3.871, -3.163, -2.335, 0.0, 0.793, 1.0, 2.666, 10.0, 16.0]",
OLODATEROL,-3.871,"[-3.871, -2.828, -2.784, -2.477, -1.866, 1.0, 10.0, 16.0]",success
WARFARIN,-3.784,"[-3.784, -3.756, -3.668, -2.783, -1.906, 0.0, 1.0, 10.0, 16.0]",success
SULFABENZAMIDE,-3.78,"[-3.78, -3.624, -3.229, -2.961, -2.891, 0.0, 1.0, 10.0, 16.0]",
TERIFLUNOMIDE,-3.778,"[-3.778, -3.21, -2.713, -2.121, -1.995, 0.0, 1.0, 10.0, 16.0]",
EVOGLIPTIN,-3.698,"[-3.698, -2.566, -1.665, -1.595, -1.282, 0.0, 1.0, 10.0, 16.0]",success
CILOSTAZOL,-3.692,"[-3.692, -3.254, -3.026, -2.201, -2.194, 1.0, 10.0, 16.0]",success
ANISOTROPINE,-3.631,"[-3.631, -3.628, -3.548, -3.489, -2.731, 0.0, 1.0, 10.0, 16.0]",
TOFACITINIB,-3.619,"[-3.619, -1.268, -0.934, -0.392, 0.0, 1.0, 2.728, 10.0, 16.0]",success
MITOMYCIN,-3.582,"[-3.582, -3.355, -2.576, -2.437, -2.277, 1.0, 10.0, 16.0]",success
DIBENZEPIN,-3.526,"[-3.526, -0.668, -0.235, 0.0, 0.423, 1.0, 2.205, 10.0, 16.0]",
ROFECOXIB,-3.503,"[-3.503, -2.343, -1.926, -1.413, -0.659, 0.0, 1.0, 10.0, 16.0]",
FLECAINIDE,-3.462,"[-3.462, -2.59, -2.474, -2.312, -1.806, 0.0, 1.0, 10.0, 16.0]",success
OXYPHENCYCLIMINE,-3.435,"[-3.435, -2.728, -2.664, -2.488, -2.467, 0.0, 1.0, 10.0, 16.0]",success
ONDANSETRON,-3.383,"[-3.383, -3.369, -3.011, -2.85, -2.409, 0.0, 1.0, 10.0, 16.0]",success
OXYBUTYNIN,-3.368,"[-3.368, -3.286, -2.852, -1.993, 0.0, 1.0, 10.0, 16.0]",success
NIMODIPINE,-3.357,"[-3.357, -1.9, -1.132, -1.037, -0.902, 1.0, 10.0, 16.0]",success
ESTRONE,-3.356,"[-3.356, -2.848, -1.284, 0.0, 0.704, 0.798, 1.0, 10.0, 16.0]",success
