chembl_id,name,smiles,mw,alogp,ro5_violations,first_approval
CHEMBL10878,AGOMELATINE,COc1ccc2cccc(CCNC(C)=O)c2c1,243.31,2.53,0,2009
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,O=P1(N(CCCl)CCCl)NCCCO1,261.09,1.88,0,1959
CHEMBL498,CHLORPROPAMIDE,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,276.75,1.74,0,1958
CHEMBL499,TIMOLOL,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,316.43,0.50,0,1978
CHEMBL500,PINDOLOL,CC(C)NCC(O)COc1cccc2[nH]ccc12,248.33,1.91,0,1982
CHEMBL276832,HYDRALAZINE,NNc1nncc2ccccc12,160.18,0.92,0,1953
CHEMBL501,AMPHETAMINE SULFATE,CC(N)Cc1ccccc1.O=S(=O)(O)O,233.29,1.58,0,1960
CHEMBL267345,AMPHOTERICIN B,C[C@@H]1[C@H](O)[C@@H](C)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@H]1C)C[C@H](O)[C@H]2C(=O)O,924.09,0.71,3,1964
CHEMBL90,HISTAMINE,NCCc1c[nH]cn1,111.15,-0.09,0,1939
CHEMBL91,MICONAZOLE,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,416.13,6.45,1,1974
CHEMBL92,DOCETAXEL ANHYDROUS,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,807.89,3.26,2,1995
CHEMBL93,ZILEUTON,CC(c1cc2ccccc2s1)N(O)C(N)=O,236.30,2.73,0,1996
CHEMBL94,PHYSOSTIGMINE,CNC(=O)Oc1ccc2c(c1)[C@]1(C)CCN(C)[C@@H]1N2C,275.35,1.77,0,None
CHEMBL95,TACRINE,Nc1c2c(nc3ccccc13)CCCC2,198.27,2.70,0,1993
CHEMBL502,DONEPEZIL,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,379.50,4.36,0,1996
CHEMBL503,LOVASTATIN,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,404.55,4.20,0,1987
CHEMBL11662,OZAGREL,O=C(O)/C=C/c1ccc(Cn2ccnc2)cc1,228.25,2.03,0,1988
CHEMBL12610,BENZYDAMINE,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,309.41,3.42,0,None
CHEMBL269644,ACETANILIDE,CC(=O)Nc1ccccc1,135.17,1.65,0,None
CHEMBL504,DIMETHYL SULFOXIDE,C[S+](C)[O-],78.14,-0.01,0,1978
CHEMBL505,CHLORPHENIRAMINE,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1,274.80,3.82,0,1950
CHEMBL506,PRIMAQUINE,COc1cc(NC(C)CCCN)c2ncccc2c1,259.35,2.78,0,1952
CHEMBL509,MECLOFENAMIC ACID,Cc1ccc(Cl)c(Nc2ccccc2C(=O)O)c1Cl,296.15,4.74,0,1980
CHEMBL511,PYRILAMINE,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1,285.39,2.66,0,1973
CHEMBL12713,SERTINDOLE,O=C1NCCN1CCN1CCC(c2cn(-c3ccc(F)cc3)c3ccc(Cl)cc23)CC1,440.95,4.63,0,1996
CHEMBL513,CARMUSTINE,O=NN(CCCl)C(=O)NCCCl,214.05,1.16,0,1977
CHEMBL514,LOMUSTINE,O=NN(CCCl)C(=O)NC1CCCCC1,233.70,2.25,0,1976
CHEMBL515,CHLORAMBUCIL,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.22,3.38,0,1957
CHEMBL516,CYPROHEPTADINE,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,287.41,4.70,0,1961
CHEMBL12856,INAMRINONE,Nc1cc(-c2ccncc2)c[nH]c1=O,187.20,1.02,0,1984
CHEMBL517,DISOPYRAMIDE,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C,339.48,3.36,0,1977
CHEMBL98,VORINOSTAT,O=C(CCCCCCC(=O)Nc1ccccc1)NO,264.32,2.47,0,2006
