name,best_affinity,round,exhaustiveness,z_score,hit_level
EDARAVONE,-6.209,R4,16,-0.4920926881751912,L5_Weak
Fenbufen,-6.207,R1-R3,8,-0.4621604731407685,L5_Weak
CARGLUMIC ACID,-6.203,R5-FDA,16,-0.7126223775305374,L5_Weak
PANTOTHENIC ACID,-6.2,R5-FDA,16,-0.7112090372545038,L5_Weak
STAVUDINE,-6.198,R4,16,-0.48344549584394003,L5_Weak
ETHOSUXIMIDE,-6.196,R4,16,-0.4818732790564392,L5_Weak
FAMCICLOVIR,-6.19,R5-FDA,16,-0.7064979030010587,L5_Weak
Hydrochlorothiazide,-6.178,R1-R3,8,-0.4412077001520129,L5_Weak
OXYCODONE,-6.172,R5-FDA,16,-0.6980178613448571,L5_Weak
HEXAMINOLEVULINATE,-6.161,R5-FDA,16,-0.6928356136660674,L5_Weak
HYDROCHLOROTHIAZIDE,-6.152,R4,16,-0.44728450973143224,L5_Weak
BUCETIN,-6.15,R5-FDA,16,-0.687653365987278,L5_Weak
OXYBENZONE,-6.144,R4,16,-0.4409956425814309,L5_Weak
MEPERIDINE,-6.141,R4,16,-0.43863731740018036,L5_Weak
BROMISOVALUM,-6.138,R5-FDA,16,-0.6820000048831436,L5_Weak
Fluoxetine,-6.133,R1-R3,8,-0.4086947765487713,L5_Weak
LEVOMILNACIPRAN,-6.131,R4,16,-0.43077623346267885,L5_Weak
NABUMETONE,-6.131,R5-FDA,16,-0.6787022109057321,L5_Weak
GEMFIBROZIL,-6.13,R5-FDA,16,-0.6782310974803875,L5_Weak
Tolfenamic_Acid,-6.127,R1-R3,8,-0.40435972006833887,L5_Weak
TOLAZOLINE,-6.127,R4,16,-0.42763179988767785,L5_Weak
METHOHEXITAL,-6.124,R5-FDA,16,-0.6754044169283202,L5_Weak
CARBETAPENTANE,-6.118,R5-FDA,16,-0.6725777363762534,L5_Weak
Phenylacetic_Acid,-6.116,R1-R3,8,-0.3964121165208797,L5_Weak
Tranexamic_Acid,-6.113,R1-R3,8,-0.39424458828066417,L5_Weak
VILOXAZINE,-6.112,R4,16,-0.41584017398142564,L5_Weak
TRANEXAMIC ACID,-6.112,R4,16,-0.41584017398142564,L5_Weak
SULFALENE,-6.106,R4,16,-0.41112352361892446,L5_Weak
ETHOXZOLAMIDE,-6.099,R4,16,-0.40562076486267357,L5_Weak
NEPAFENAC,-6.09,R4,16,-0.3985457893189218,L5_Weak
Nabumetone,-6.079,R1-R3,8,-0.36967926822488106,L5_Weak
PRONETALOL,-6.077,R4,16,-0.3883263802001698,L5_Weak
TELBIVUDINE,-6.077,R4,16,-0.3883263802001698,L5_Weak
URACIL MUSTARD,-6.054,R4,16,-0.37024588714391626,L5_Weak
SULFATHIAZOLE,-6.053,R4,16,-0.36945977875016583,L5_Weak
PHENDIMETRAZINE,-6.053,R4,16,-0.36945977875016583,L5_Weak
DOBUTAMINE,-6.043,R4,16,-0.3615986948126643,L5_Weak
INAMRINONE,-6.033,R4,16,-0.35373761087516287,L5_Weak
DINOPROSTONE,-6.031,R5-FDA,16,-0.6315908683712801,L5_Weak
PROPOXYCAINE,-6.031,R5-FDA,16,-0.6315908683712801,L5_Weak
THIOGUANINE,-6.026,R4,16,-0.3482348521189113,L5_Weak
PROPYLTHIOURACIL,-6.022,R4,16,-0.345090418543911,L5_Weak
Probenecid,-6.003,R1-R3,8,-0.31476855280607324,L5_Weak
